Title,Date added,Template,Vulnerable Population?,Age Range,Named Detainee,Gender,Status,Event 1 Date Range,Event 1 Violations,Event 2 Date Range,Event 2 Violations,Event 3 Date Range,Event 3 Violation,Related Penal Facilities,Province Where the Penal Facility is Located,Penal Facility Affiliation,Related Type of Penal Facility,Documents,Attachments,Published
A2723,28/03/2024,Detainees,Children,10-19,Unnamed,Male,Unknown,01/12/2005~31/01/2006,Violation of the Rights of Children_A2723,,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A2722,28/03/2024,Detainees,Children,10-19,Unnamed,Male,Unknown,01/12/2005~31/01/2006,Violation of the Rights of Children_A2722,,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A2721,28/03/2024,Detainees,N/A,20-29,Named,Male,Released from all facilities,01/12/2005~28/02/2006,"Arbitrary Deprivation of Liberty_A2721|Sexual and Gender-based Violence_A2721|Torture & CID_1_A2721|Torture & CID_2_A2721|Violation of Freedom of Expression_A2721|Violation of Right to Health_1_A2721|Violation of Right to Health_2_A2721|Violation of the Right to a Fair Trial_A2721",,,,,"Onsong County MSS Detention Centre|Onsong County Labour Training Centre|North Hamgyong Provincial MPS Holding Centre (Nongpo)","North Hamgyong|North Hamgyong|North Hamgyong","Ministry of State Security|People's Committee of North Korea|Ministry of People's Security","Detention Centre|Labour Training Centre|Holding Centre",,,Published
A2589,27/03/2024,Detainees,Women,30-39,Unnamed,Female,Unknown,01/08/2002~01/10/2002,"Violation of the Right to Freedom of Conscience, Thought and Religion_A2589 |Forced Labour_A2589|Torture & CID_A2589|Violation of Freedom of Expression_A2589|Violation of Right to Health_A2589",,,,,Onsong County Labour Training Centre,North Hamgyong,People's Committee of North Korea,Labour Training Centre,,,Published
A2727,27/03/2024,Detainees,Women,40-49,Named,Female,Unknown,01/10/2002~31/12/2002,"Violation of the Right to Freedom of Conscience, Thought and Religion_A2727|Forced Labour_A2727|Torture & CID_A2727|Violation of Freedom of Expression_A2727|Violation of Right to Health_A2727",,,,,North Hamgyong Provincial MPS Holding Centre (Nongpo),North Hamgyong,Ministry of People's Security,Holding Centre,,,Published
A2587,27/03/2024,Detainees,Women,40-49,Unnamed,Female,Released from all facilities,31/07/2002~31/12/2002,"Arbitrary Deprivation of Liberty_A2587|Violation of the Right to a Fair Trial_A2587|Violation of the Right to Freedom of Conscience, Thought and Religion_A2587|Forced Labour_1_A2587|Forced Labour_2_A2587|Sexual and Gender-based Violence_1_A2587|Sexual and Gender-based Violence_2_A2587|Sexual and Gender-based Violence_3_A2587|Torture & CID_1_A2587|Torture & CID_2_A2587|Torture & CID_3_A2587|Violation of Freedom of Expression_1_A2587|Violation of Freedom of Expression_2_A2587|Violation of Freedom of Expression_3_A2587|Violation of Right to Health_1_A2587|Violation of Right to Health_2_A2587|Violation of Right to Health_3_A2587",,,,,"Onsong County MSS Detention Centre|Onsong County Labour Training Centre|North Hamgyong Provincial MPS Holding Centre (Nongpo)","North Hamgyong|North Hamgyong|North Hamgyong","Ministry of State Security|People's Committee of North Korea|Ministry of People's Security","Detention Centre|Labour Training Centre|Holding Centre",,,Published
A2588,27/03/2024,Detainees,"Children|Women",10-19,Named,Female,Released from all facilities,31/07/2002~31/12/2002,"Arbitrary Deprivation of Liberty_A2588|Violation of the Right to Freedom of Conscience, Thought and Religion_3_A2588|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A2588|Violation of the Right to Freedom of Conscience, Thought and Religion_2_A2588|Violation of the Right to a Fair Trial_A2588|Forced Labour_A2588|Sexual and Gender-based Violence_1_A2588|Sexual and Gender-based Violence_2_A2588|Sexual and Gender-based Violence_3_A2588|Torture & CID_1_A2588|Torture & CID_2_A2588|Torture & CID_3_A2588|Violation of Freedom of Expression_1_A2588|Violation of Freedom of Expression_2_A2588|Violation of Freedom of Expression_3_A2588|Violation of Right to Health_1_A2588|Violation of Right to Health_2_A2588|Violation of Right to Health_3_A2588|Violation of the Rights of Children_1_A2588|Violation of the Rights of Children_2_A2588|Violation of the Rights of Children_3_A2588",,,,,"Onsong County MSS Detention Centre|Onsong County Labour Training Centre|North Hamgyong Provincial MPS Holding Centre (Nongpo)","North Hamgyong|North Hamgyong|North Hamgyong","Ministry of State Security|People's Committee of North Korea|Ministry of People's Security","Detention Centre|Labour Training Centre|Holding Centre",,,Published
A2586,27/03/2024,Detainees,"Children|Women",10-19,Named,Female,Released from all facilities,31/07/2002~31/12/2002,"Arbitrary Deprivation of Liberty_A2586|Violation of the Right to a Fair Trial_A2586|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A2586|Violation of the Right to Freedom of Conscience, Thought and Religion_2_A2586|Forced Labour_1_A2586|Forced Labour_2_A2586|Sexual and Gender-based Violence_1_A2586|Sexual and Gender-based Violence_2_A2586|Sexual and Gender-based Violence_3_A2586|Torture & CID_1_A2586|Torture & CID_2_A2586|Torture & CID_3_A2586|Violation of Freedom of Expression_1_A2586|Violation of Freedom of Expression_2_A2586|Violation of Freedom of Expression_3_A2586|Violation of Right to Health_1_A2586|Violation of Right to Health_2_A2586|Violation of Right to Health_3_A2586|Violation of the Rights of Children_1_A2586|Violation of the Rights of Children_2_A2586|Violation of the Rights of Children_3_A2586",,,,,"Onsong County MSS Detention Centre|Onsong County Labour Training Centre|North Hamgyong Provincial MPS Holding Centre (Nongpo)","North Hamgyong|North Hamgyong|North Hamgyong","Ministry of State Security|People's Committee of North Korea|Ministry of People's Security","Detention Centre|Labour Training Centre|Holding Centre",,,Published
A2605,26/03/2024,Detainees,Women,70-79,Named,Female,Unknown,01/08/2017~31/08/2017,"Arbitrary Deprivation of Liberty_A2605|Violation of the Right to Freedom of Conscience, Thought and Religion_A2605",,,,,Samjiyon County Potae-ri MSS Office,Ryanggang,Ministry of State Security,Temporary Detention Facility::Office,,,Published
A2604,26/03/2024,Detainees,N/A,20-29,Named,Male,Death in custody,01/08/2017~31/08/2017,"Arbitrary Deprivation of Liberty_A2604|Violation of the Right to Life_A2604|Torture & CID_A2604",,,,,Samjiyon County Potae-ri MSS Office,Ryanggang,Ministry of State Security,Temporary Detention Facility::Office,,,Published
