Title,Date added,Template,Geolocation,Organisation in Charge,Province,Penal Facility by Organisational Affiliation,Type of Penal Facility,Penal Facility Status,Documents,Attachments,Published
Samjiyon County Potae-ri MSS Office,26/03/2024,Penal facilities,,Ministry of State Security,Ryanggang,Ministry of State Security ::District-level MSS Office,Temporary Detention Facility::Office,Unknown,,,Published
Hoeryong City MPS Provisional Holding Centre,22/03/2024,Penal facilities,,Ministry of People's Security,North Hamgyong,Ministry of People's Security ::MPS Holding Centre,Holding Centre,Unknown,,,Published
Rawon County Samho-gu MSS Office,21/03/2024,Penal facilities,"39.9400809|127.8726444",Ministry of State Security,North Hamgyong,Ministry of State Security ::District-level MSS Office,Temporary Detention Facility::Office,Unknown,,,Published
Hyesan City Temporary Anti-Socialist Task Force Office,20/03/2024,Penal facilities,"41.4182926|128.2097431",Unknown,Ryanggang,Other related facilities::Unknown ,Temporary Detention Facility::Office,Unknown,,,Published
Haeju City MPS Detention Centre,19/03/2024,Penal facilities,,Ministry of People's Security,South Hwanghae,Ministry of People's Security ::MPS Detention Centre,Detention Centre,Unknown,,,Published
Musan County Changryul-gu MPS Sub-municipal Station Waiting Room,19/03/2024,Penal facilities,,Ministry of People's Security,North Hamgyong,Ministry of People's Security ::MPS Sub-municipal Station Office,Waiting Room,Unknown,,,Published
Hyesan City Chun-dong MPS Sub-municipal Station Office,19/03/2024,Penal facilities,,Ministry of People's Security,Ryanggang,Ministry of People's Security ::MPS Sub-municipal Station Office,Temporary Detention Facility::Office,Unknown,,,Published
Kumya County MPS Detention Centre,18/03/2024,Penal facilities,,Ministry of People's Security,South Hamgyong,Ministry of People's Security ::MPS Detention Centre,Detention Centre,Unknown,,,Published
Kyongsong County MPS Waiting Room,15/03/2024,Penal facilities,,Ministry of People's Security,North Hamgyong,Ministry of People's Security ::County-level MPS Waiting Room,Waiting Room,Unknown,,,Published
South Pyongan Provincial MPS Holding Centre,14/03/2024,Penal facilities,,Ministry of People's Security,South Pyongan,Ministry of People's Security ::MPS Holding Centre,Holding Centre,Operative,,,Published
Hamhung University of Hydraulic Engineering MSS Office,14/03/2024,Penal facilities,,Ministry of State Security,South Hamgyong,Ministry of State Security ::City-level MSS Office,Temporary Detention Facility::Office,Operative,,,Published
Kaechon City MSS Detention Centre,14/03/2024,Penal facilities,,Ministry of State Security,South Pyongan,Ministry of State Security ::MSS Detention Centre,Detention Centre,Unknown,,,Published
Hoeryong City Saemaeul-dong MPS Sub-municipal Station Office,14/03/2024,Penal facilities,,Ministry of People's Security,North Hamgyong,Ministry of People's Security ::MPS Sub-municipal Station Office,Temporary Detention Facility::Office,Unknown,,,Published
Hamhung City Jongpyong-gu MPS Sub-municipal Station Office,13/03/2024,Penal facilities,,Ministry of People's Security,South Hamgyong,Ministry of People's Security ::MPS Sub-municipal Station Office,Temporary Detention Facility::Office,Unknown,,,Published
Chongjin City Pohang District MPS Detention Centre,13/03/2024,Penal facilities,,Ministry of People's Security,North Hamgyong,Ministry of People's Security ::MPS Detention Centre,Detention Centre,Unknown,,,Published
Wonsan City MPS Detention Centre,13/03/2024,Penal facilities,,Ministry of People's Security,Kangwon,Ministry of People's Security ::MPS Detention Centre,Detention Centre,Operative,,,Published
Wonsan City Prosecutor's Office,13/03/2024,Penal facilities,,Other North Korean government organisation,Kangwon,Prosecution::Prosecutor's Office,Temporary Detention Facility::Office,Operative,,,Published
Kimchaek City MPS Detention Centre,13/03/2024,Penal facilities,,Ministry of People's Security,North Hamgyong,Ministry of People's Security ::MPS Detention Centre,Detention Centre,Unknown,,,Published
Daehung Re-education Camp,13/03/2024,Penal facilities,,Ministry of People's Security,South Hamgyong,Ministry of People's Security ::MPS Re-education camp,Re-education Camp ,Closed,,,Published
Samjiyon County Labour Training Centre,12/03/2024,Penal facilities,,People's Committee of North Korea,Ryanggang,People's Committee::City/ County-level Labour Training Centre,Labour Training Centre,Unknown,,,Published
Hyesan City Sonbong-dong MPS Sub-municipal Station Office,11/03/2024,Penal facilities,,Ministry of People's Security,Ryanggang,Ministry of People's Security ::MPS Sub-municipal Station Office,Temporary Detention Facility::Office,Operative,,,Published
Hyesan City Hyetan-dong MSS Office,07/03/2024,Penal facilities,,Ministry of State Security,Ryanggang,Ministry of State Security ::Local MSS Guidance Officer Office,Temporary Detention Facility::Office,Unknown,,,Published
Chongjin City Ranam District Kkotjebi Relief Station,02/02/2024,Penal facilities,"41.7191688|129.6948427",Unknown,North Hamgyong,Other related facilities::Kkotjebi Relief Station,Temporary Detention Facility::Kkotjebi Relief Station,Unknown,,,Published
Pochon County Court,01/02/2024,Penal facilities,,Unknown,Ryanggang,Other related facilities::Other,Temporary Detention Facility::Other,Unknown,,,Published
Hoeryong City Border Security Command Base,01/02/2024,Penal facilities,,Other North Korean government organisation,North Hamgyong,Border Security Command::BSC Base,Temporary Detention Facility::Other,Unknown,,,Published
Hamhung No.55 Labour Training Camp,31/01/2024,Penal facilities,,Ministry of People's Security,South Hamgyong,Ministry of People's Security ::Provincial / National-level Labour Training Camp,Labour Training Camp,Unknown,,,Published
Chongjin Railroad Station MSS Detention Centre,30/01/2024,Penal facilities,,Ministry of State Security,North Hamgyong,Ministry of State Security ::MSS Detention Centre,Detention Centre,Unknown,,,Published
Musan Railroad Station MSS Night Duty Post,30/01/2024,Penal facilities,,Ministry of State Security,North Hamgyong,Other related facilities::Other,Temporary Detention Facility::Office,Unknown,,,Published
Musan County Prosecutor's Office,26/01/2024,Penal facilities,,Other North Korean government organisation,North Hamgyong,Prosecution::Prosecutor's Office,Temporary Detention Facility::Office,Unknown,,,Published
Kangwon Provincial MPS Detention Centre,19/01/2024,Penal facilities,,Ministry of People's Security,Kangwon,Ministry of People's Security ::MPS Detention Centre,Detention Centre,Unknown,,,Published
Kangwon Provincial MSS Detention Centre,19/01/2024,Penal facilities,,Ministry of State Security,Kangwon,Ministry of State Security ::MSS Detention Centre,Detention Centre,Unknown,,,Published
Chunggang County MPS Detention Centre,17/01/2024,Penal facilities,,Ministry of People's Security,Chagang,Ministry of People's Security ::MPS Detention Centre,Detention Centre,Unknown,,,Published
Rason City MPS Waiting Room,12/01/2024,Penal facilities,"42.2234394|130.3171856",Ministry of People's Security,Rason,Ministry of People's Security ::City-level MPS Waiting room,Waiting Room,Unknown,,,Published
Rason City Anju-dong MPS Sub-municipal Station Office,12/01/2024,Penal facilities,"42.2234394|130.3171856",Ministry of People's Security,Rason,Ministry of People's Security ::MPS Sub-municipal Station Office,Temporary Detention Facility::Office,Unknown,,,Published
