Title,Date added,Template,Nationality,Named Perpetrator,Gender,Organisational Affiliation,Event 1 - Age Range,Event 1 - Perpetrator Rank,Related Penal Facility,Affiliated Province,Related Detainee,Related Penal Facility Type,Documents,Attachments,Published
A2724,28/03/2024,Perpetrators,North Korean,Unnamed,Male,Ministry of State Security,40-49,Junior Lieutenant (sowi),Onsong County MSS Detention Centre,North Hamgyong,A2721,Detention Centre,,,Published
A2590,27/03/2024,Perpetrators,North Korean,Unnamed,Male,People's Committee of North Korea,30-39,Other,Onsong County Labour Training Centre,North Hamgyong,"A2586|A2587|A2588",Labour Training Centre,,,Published
A2606,26/03/2024,Perpetrators,North Korean,Named,Male,Ministry of State Security,50-59,Unknown,Samjiyon County Potae-ri MSS Office,Ryanggang,"A2602|A2603|A2604|A2605",Temporary Detention Facility::Office,,,Published
A2565,25/03/2024,Perpetrators,North Korean,Unnamed,Male,Ministry of People’s Security,50-59,Major (sojwa),Kaechon Re-education Camp,South Pyongan,A2553,Re-education Camp ,,,Published
A2564,25/03/2024,Perpetrators,North Korean,Unnamed,Male,Ministry of People’s Security,20-29,Master Sergeant (sangsa),Kimjongsuk (Sinpa) County MPS Detention Centre,Ryanggang,"A2555|A2553",Detention Centre,,,Published
A2563,25/03/2024,Perpetrators,North Korean,Named,Male,Ministry of People’s Security,50-59,Major (sojwa),Kimjongsuk (Sinpa) County MPS Detention Centre,Ryanggang,A2553,Detention Centre,,,Published
A2562,25/03/2024,Perpetrators,North Korean,Unnamed,Male,Ministry of People’s Security,50-59,Major (sojwa),Kimjongsuk (Sinpa) County MPS Detention Centre,Ryanggang,A2553,Detention Centre,,,Published
A2561,25/03/2024,Perpetrators,North Korean,Partially named,Female,Ministry of State Security,30-39,Captain (taewi),Ryanggang Provincial MSS Holding Centre,Ryanggang,A2553,Holding Centre,,,Published
A2560,25/03/2024,Perpetrators,North Korean,Partially named,Male,Ministry of State Security,50-59,Lieutenant Colonel (jungjwa),Ryanggang Provincial MSS Holding Centre,Ryanggang,A2553,Holding Centre,,,Published
A2559,25/03/2024,Perpetrators,North Korean,Partially named,Male,Ministry of State Security,50-59,Lieutenant Colonel (jungjwa),Ryanggang Provincial MSS Holding Centre,Ryanggang,,Holding Centre,,,Published
A2558,25/03/2024,Perpetrators,North Korean,Unnamed,Male,Ministry of State Security,30-39,Captain (taewi),Ryanggang Provincial MSS Holding Centre,Ryanggang,A2553,Holding Centre,,,Published
A2738,22/03/2024,Perpetrators,North Korean,Named,Male,Ministry of People’s Security,Unknown,Lieutenant (jungwi),North Hamgyong Provincial MPS Holding Centre (Nongpo),North Hamgyong,A2733,Holding Centre,,,Published
A2737,22/03/2024,Perpetrators,North Korean,Named,Male,Ministry of People’s Security,30-39,Unknown,Musan County Labour Training Centre,North Hamgyong,A2733,Labour Training Centre,,,Published
A2736,22/03/2024,Perpetrators,North Korean,Named,Male,Unknown,60-69,Unknown,Musan County Labour Training Centre,North Hamgyong,A2733,Labour Training Centre,,,Published
A2735,22/03/2024,Perpetrators,North Korean,Partially named,Male,Ministry of State Security,20-29,Unknown,Musan County MSS Detention Centre,North Hamgyong,A2733,Detention Centre,,,Published
A2577,21/03/2024,Perpetrators,North Korean,Partially named,Male,Ministry of People’s Security,50-59,Unknown,Rawon County Samho-gu MSS Office,North Hamgyong,A2573,Temporary Detention Facility::Office,,,Published
