"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,166,"PRK","North Korea",1,"Chagang-do",1,"Ch'osan","",NA,"","Gun","County","","Chosan"
2,166,"PRK","North Korea",1,"Chagang-do",2,"Chonch'on","",NA,"","Gun","County","","Jonchon"
3,166,"PRK","North Korea",1,"Chagang-do",3,"Changgang","",NA,"","Gun","County","","Janggang"
4,166,"PRK","North Korea",1,"Chagang-do",4,"Chasong","",NA,"","Gun","County","","Jasong"
5,166,"PRK","North Korea",1,"Chagang-do",5,"Chunggang","",NA,"","Gun","County","","Junggang"
6,166,"PRK","North Korea",1,"Chagang-do",6,"Huich'on","",NA,"","Si"," City","","Huichon"
7,166,"PRK","North Korea",1,"Chagang-do",7,"Hwap'yong","",NA,"","Gun","County","","Hwaphyong"
8,166,"PRK","North Korea",1,"Chagang-do",8,"Kanggye","",NA,"","Si"," City","",""
9,166,"PRK","North Korea",1,"Chagang-do",9,"Kop'ung","",NA,"","Gun","County","","Kopung"
10,166,"PRK","North Korea",1,"Chagang-do",10,"Manp'o","",NA,"","Si"," City","","Manpo"
11,166,"PRK","North Korea",1,"Chagang-do",11,"Rangrim","",NA,"","Gun","County","",""
12,166,"PRK","North Korea",1,"Chagang-do",12,"Ryongrim","",NA,"","Gun","County","",""
13,166,"PRK","North Korea",1,"Chagang-do",13,"Songgan","",NA,"","Gun","County","","Songgan"
14,166,"PRK","North Korea",1,"Chagang-do",14,"Sijung","",NA,"","Gun","County","",""
15,166,"PRK","North Korea",1,"Chagang-do",15,"Songwon","",NA,"","Gun","County","","Songwon"
16,166,"PRK","North Korea",1,"Chagang-do",16,"Tongsin","",NA,"","Gun","County","",""
17,166,"PRK","North Korea",1,"Chagang-do",17,"Usi","",NA,"","Gun","County","",""
18,166,"PRK","North Korea",1,"Chagang-do",18,"Wiwon","",NA,"","Gun","County","","Wiwon"
19,166,"PRK","North Korea",2,"Hamgyong-bukto",19,"Undok","",NA,"","Gun","County","","Undok"
20,166,"PRK","North Korea",2,"Hamgyong-bukto",20,"Orang","",NA,"","Gun","County","","Orang"
21,166,"PRK","North Korea",2,"Hamgyong-bukto",21,"Ch'ongjin","",NA,"","Si","City","","Chongjin"
22,166,"PRK","North Korea",2,"Hamgyong-bukto",22,"Hoeryong","",NA,"","Si","City","","Hoiryong"
23,166,"PRK","North Korea",2,"Hamgyong-bukto",23,"Hwadae","",NA,"","Gun","County","",""
24,166,"PRK","North Korea",2,"Hamgyong-bukto",24,"Hwasong","",NA,"","Gun","County","","Hwasong"
25,166,"PRK","North Korea",2,"Hamgyong-bukto",25,"Kilchu","",NA,"","Gun","County","","Kiliju"
26,166,"PRK","North Korea",2,"Hamgyong-bukto",26,"Kimch'aek","",NA,"","Si","City","","Kimchaek"
27,166,"PRK","North Korea",2,"Hamgyong-bukto",27,"Kyongsong","",NA,"","Gun","County","","Kyongsong"
28,166,"PRK","North Korea",2,"Hamgyong-bukto",28,"Musan","",NA,"","Gun","County","",""
29,166,"PRK","North Korea",2,"Hamgyong-bukto",29,"Myongch'on","",NA,"","Gun","County","","Myongchon"
30,166,"PRK","North Korea",2,"Hamgyong-bukto",30,"Onsong","",NA,"","Gun","County","","Onsong"
31,166,"PRK","North Korea",2,"Hamgyong-bukto",31,"Puryong","",NA,"","Gun","County","","Puryong"
32,166,"PRK","North Korea",2,"Hamgyong-bukto",32,"Puyun","",NA,"","Gun","County","",""
33,166,"PRK","North Korea",2,"Hamgyong-bukto",33,"Saebyol","",NA,"","Gun","County","","Saepyol"
34,166,"PRK","North Korea",2,"Hamgyong-bukto",34,"Yonsa","",NA,"","Gun","County","","Yonsa"
35,166,"PRK","North Korea",3,"Hamgyong-namdo",35,"Chongp'yong","",NA,"","Gun","County","","Jonpyong"
36,166,"PRK","North Korea",3,"Hamgyong-namdo",36,"Dachon","",NA,"","Gun","County","",""
37,166,"PRK","North Korea",3,"Hamgyong-namdo",37,"Doksong","",NA,"","Gun","County","",""
38,166,"PRK","North Korea",3,"Hamgyong-namdo",38,"Hoch'on","",NA,"","Gun","County","","Hochon"
39,166,"PRK","North Korea",3,"Hamgyong-namdo",39,"Hamhung","",NA,"","Si","City","","Hamhung"
40,166,"PRK","North Korea",3,"Hamgyong-namdo",40,"Hamju","",NA,"","Gun","County","",""
41,166,"PRK","North Korea",3,"Hamgyong-namdo",41,"Hongwon","",NA,"","Gun","County","","Hongwon"
42,166,"PRK","North Korea",3,"Hamgyong-namdo",42,"Jangjin","",NA,"","Gun","County","",""
43,166,"PRK","North Korea",3,"Hamgyong-namdo",43,"Kumho","",NA,"","Gun","County","","Kumho"
44,166,"PRK","North Korea",3,"Hamgyong-namdo",44,"Kumya","",NA,"","Gun","County","","Kumya"
45,166,"PRK","North Korea",3,"Hamgyong-namdo",45,"Kowon","",NA,"","Gun","County","","Kowon"
46,166,"PRK","North Korea",3,"Hamgyong-namdo",46,"Pujon","",NA,"","Gun","County","","Bujon"
