"","det_id","perp_id","det_start","det_end","det_start_year","det_end_year","det_vulnerable_population","det_age_range","det_gender","det_status","det_violation","det_related_penal_facilities","det_province_penal_facility","det_penal_facility_affiliation","det_type_of_penal_facility","det_event","detainee_number","perp_nationality","perp_organisational_affiliation","perp_age_range","perp_rank","perp_related_penal_facility","perp_affiliated_province","perp_type_of_penal_facility","det_vulnerable_population_bi","det_violation_cl","Deprivation of Liberty","Sexual Violence","Torture","Freedom of Expression","Health","Fair Trial","Conscience and Religion","Forced Labor","Children","Life","Disability"
"1","det-A2721","perp-A2724","01/12/2005","28/02/2006",2005,2006,"N/A","20-29","Male","Released from all facilities","Arbitrary Deprivation of Liberty_A2721|Sexual and Gender-based Violence_A2721|Torture & CID_1_A2721|Torture & CID_2_A2721|Violation of Freedom of Expression_A2721|Violation of Right to Health_1_A2721|Violation of Right to Health_2_A2721|Violation of the Right to a Fair Trial_A2721","Onsong County MSS Detention Centre|Onsong County Labour Training Centre|North Hamgyong Provincial MPS Holding Centre (Nongpo)","North Hamgyong|North Hamgyong|North Hamgyong","Ministry of State Security|People's Committee of North Korea|Ministry of People's Security","Detention Centre|Labour Training Centre|Holding Centre",1,1,"North Korean","Ministry of State Security","40-49","Junior Lieutenant (sowi)","Onsong County MSS Detention Centre","North Hamgyong","Detention Centre",0,"Arbitrary Deprivation of Liberty|Sexual and Gender-based Violence|Torture & CID|Torture & CID|Violation of Freedom of Expression|Violation of Right to Health|Violation of Right to Health|Violation of the Right to a Fair Trial",1,1,1,1,1,1,0,0,0,0,0
"2","det-A2587","perp-A2590","31/07/2002","31/12/2002",2002,2002,"Women","40-49","Female","Released from all facilities","Arbitrary Deprivation of Liberty_A2587|Violation of the Right to a Fair Trial_A2587|Violation of the Right to Freedom of Conscience, Thought and Religion_A2587|Forced Labour_1_A2587|Forced Labour_2_A2587|Sexual and Gender-based Violence_1_A2587|Sexual and Gender-based Violence_2_A2587|Sexual and Gender-based Violence_3_A2587|Torture & CID_1_A2587|Torture & CID_2_A2587|Torture & CID_3_A2587|Violation of Freedom of Expression_1_A2587|Violation of Freedom of Expression_2_A2587|Violation of Freedom of Expression_3_A2587|Violation of Right to Health_1_A2587|Violation of Right to Health_2_A2587|Violation of Right to Health_3_A2587","Onsong County MSS Detention Centre|Onsong County Labour Training Centre|North Hamgyong Provincial MPS Holding Centre (Nongpo)","North Hamgyong|North Hamgyong|North Hamgyong","Ministry of State Security|People's Committee of North Korea|Ministry of People's Security","Detention Centre|Labour Training Centre|Holding Centre",1,2,"North Korean","People's Committee of North Korea","30-39","Other","Onsong County Labour Training Centre","North Hamgyong","Labour Training Centre",1,"Arbitrary Deprivation of Liberty|Violation of the Right to a Fair Trial|Violation of the Right to Freedom of Conscience, Thought and Religion|Forced Labour|Forced Labour|Sexual and Gender-based Violence|Sexual and Gender-based Violence|Sexual and Gender-based Violence|Torture & CID|Torture & CID|Torture & CID|Violation of Freedom of Expression|Violation of Freedom of Expression|Violation of Freedom of Expression|Violation of Right to Health|Violation of Right to Health|Violation of Right to Health",1,1,1,1,1,1,1,1,0,0,0
"3","det-A2588","perp-A2590","31/07/2002","31/12/2002",2002,2002,"Children|Women","10-19","Female","Released from all facilities","Arbitrary Deprivation of Liberty_A2588|Violation of the Right to Freedom of Conscience, Thought and Religion_3_A2588|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A2588|Violation of the Right to Freedom of Conscience, Thought and Religion_2_A2588|Violation of the Right to a Fair Trial_A2588|Forced Labour_A2588|Sexual and Gender-based Violence_1_A2588|Sexual and Gender-based Violence_2_A2588|Sexual and Gender-based Violence_3_A2588|Torture & CID_1_A2588|Torture & CID_2_A2588|Torture & CID_3_A2588|Violation of Freedom of Expression_1_A2588|Violation of Freedom of Expression_2_A2588|Violation of Freedom of Expression_3_A2588|Violation of Right to Health_1_A2588|Violation of Right to Health_2_A2588|Violation of Right to Health_3_A2588|Violation of the Rights of Children_1_A2588|Violation of the Rights of Children_2_A2588|Violation of the Rights of Children_3_A2588","Onsong County MSS Detention Centre|Onsong County Labour Training Centre|North Hamgyong Provincial MPS Holding Centre (Nongpo)","North Hamgyong|North Hamgyong|North Hamgyong","Ministry of State Security|People's Committee of North Korea|Ministry of People's Security","Detention Centre|Labour Training Centre|Holding Centre",1,3,"North Korean","People's Committee of North Korea","30-39","Other","Onsong County Labour Training Centre","North Hamgyong","Labour Training Centre",1,"Arbitrary Deprivation of Liberty|Violation of the Right to Freedom of Conscience, Thought and Religion|Violation of the Right to Freedom of Conscience, Thought and Religion|Violation of the Right to Freedom of Conscience, Thought and Religion|Violation of the Right to a Fair Trial|Forced Labour|Sexual and Gender-based Violence|Sexual and Gender-based Violence|Sexual and Gender-based Violence|Torture & CID|Torture & CID|Torture & CID|Violation of Freedom of Expression|Violation of Freedom of Expression|Violation of Freedom of Expression|Violation of Right to Health|Violation of Right to Health|Violation of Right to Health|Violation of the Rights of Children|Violation of the Rights of Children|Violation of the Rights of Children",1,1,1,1,1,1,1,1,1,0,0
"4","det-A2586","perp-A2590","31/07/2002","31/12/2002",2002,2002,"Children|Women","10-19","Female","Released from all facilities","Arbitrary Deprivation of Liberty_A2586|Violation of the Right to a Fair Trial_A2586|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A2586|Violation of the Right to Freedom of Conscience, Thought and Religion_2_A2586|Forced Labour_1_A2586|Forced Labour_2_A2586|Sexual and Gender-based Violence_1_A2586|Sexual and Gender-based Violence_2_A2586|Sexual and Gender-based Violence_3_A2586|Torture & CID_1_A2586|Torture & CID_2_A2586|Torture & CID_3_A2586|Violation of Freedom of Expression_1_A2586|Violation of Freedom of Expression_2_A2586|Violation of Freedom of Expression_3_A2586|Violation of Right to Health_1_A2586|Violation of Right to Health_2_A2586|Violation of Right to Health_3_A2586|Violation of the Rights of Children_1_A2586|Violation of the Rights of Children_2_A2586|Violation of the Rights of Children_3_A2586","Onsong County MSS Detention Centre|Onsong County Labour Training Centre|North Hamgyong Provincial MPS Holding Centre (Nongpo)","North Hamgyong|North Hamgyong|North Hamgyong","Ministry of State Security|People's Committee of North Korea|Ministry of People's Security","Detention Centre|Labour Training Centre|Holding Centre",1,1,"North Korean","People's Committee of North Korea","30-39","Other","Onsong County Labour Training Centre","North Hamgyong","Labour Training Centre",1,"Arbitrary Deprivation of Liberty|Violation of the Right to a Fair Trial|Violation of the Right to Freedom of Conscience, Thought and Religion|Violation of the Right to Freedom of Conscience, Thought and Religion|Forced Labour|Forced Labour|Sexual and Gender-based Violence|Sexual and Gender-based Violence|Sexual and Gender-based Violence|Torture & CID|Torture & CID|Torture & CID|Violation of Freedom of Expression|Violation of Freedom of Expression|Violation of Freedom of Expression|Violation of Right to Health|Violation of Right to Health|Violation of Right to Health|Violation of the Rights of Children|Violation of the Rights of Children|Violation of the Rights of Children",1,1,1,1,1,1,1,1,1,0,0
"5","det-A2605","perp-A2606","01/08/2017","31/08/2017",2017,2017,"Women","70-79","Female","Unknown","Arbitrary Deprivation of Liberty_A2605|Violation of the Right to Freedom of Conscience, Thought and Religion_A2605","Samjiyon County Potae-ri MSS Office","Ryanggang","Ministry of State Security","Temporary Detention Facility::Office",1,4,"North Korean","Ministry of State Security","50-59","Unknown","Samjiyon County Potae-ri MSS Office","Ryanggang","Temporary Detention Facility::Office",1,"Arbitrary Deprivation of Liberty|Violation of the Right to Freedom of Conscience, Thought and Religion",1,0,0,0,0,0,1,0,0,0,0
"6","det-A2604","perp-A2606","01/08/2017","31/08/2017",2017,2017,"N/A","20-29","Male","Death in custody","Arbitrary Deprivation of Liberty_A2604|Violation of the Right to Life_A2604|Torture & CID_A2604","Samjiyon County Potae-ri MSS Office","Ryanggang","Ministry of State Security","Temporary Detention Facility::Office",1,3,"North Korean","Ministry of State Security","50-59","Unknown","Samjiyon County Potae-ri MSS Office","Ryanggang","Temporary Detention Facility::Office",0,"Arbitrary Deprivation of Liberty|Violation of the Right to Life|Torture & CID",1,0,1,0,0,0,0,0,0,1,0
"7","det-A2603","perp-A2606","01/08/2017","31/08/2017",2017,2017,"N/A","20-29","Male","Death in custody","Arbitrary Deprivation of Liberty_A2603|Violation of the Right to Life_A2603|Torture & CID_A2603","Samjiyon County Potae-ri MSS Office","Ryanggang","Ministry of State Security","Temporary Detention Facility::Office",1,2,"North Korean","Ministry of State Security","50-59","Unknown","Samjiyon County Potae-ri MSS Office","Ryanggang","Temporary Detention Facility::Office",0,"Arbitrary Deprivation of Liberty|Violation of the Right to Life|Torture & CID",1,0,1,0,0,0,0,0,0,1,0
"8","det-A2602","perp-A2606","01/08/2017","31/08/2017",2017,2017,"Women","60-69","Female","Released from all facilities","Arbitrary Deprivation of Liberty_A2602|Violation of the Right to a Fair Trial_A2602|Torture & CID_A2602|Violation of Right to Health_A2602","Samjiyon County Potae-ri MSS Office","Ryanggang","Ministry of State Security","Temporary Detention Facility::Office",1,1,"North Korean","Ministry of State Security","50-59","Unknown","Samjiyon County Potae-ri MSS Office","Ryanggang","Temporary Detention Facility::Office",1,"Arbitrary Deprivation of Liberty|Violation of the Right to a Fair Trial|Torture & CID|Violation of Right to Health",1,0,1,0,1,1,0,0,0,0,0
"9","det-A2555","perp-A2564","01/04/2014","30/09/2014",2014,2014,"Women","30-39","Female","Unknown","Sexual and Gender-based Violence_A2555|Torture & CID_A2555|Violation of Freedom of Expression_A2555|Violation of Right to Health_A2555","Kimjongsuk (Sinpa) County MPS Detention Centre","Ryanggang","Ministry of People's Security","Detention Centre",1,1,"North Korean","Ministry of People’s Security","20-29","Master Sergeant (sangsa)","Kimjongsuk (Sinpa) County MPS Detention Centre","Ryanggang","Detention Centre",1,"Sexual and Gender-based Violence|Torture & CID|Violation of Freedom of Expression|Violation of Right to Health",0,1,1,1,1,0,0,0,0,0,0
"10","det-A2553","perp-A2565","01/01/2011","31/03/2011",2011,2011,"Women","40-49","Female","Released from all facilities","Arbitrary Deprivation of Liberty_1_A2553|Violation of the Right to a Fair Trial_1_A2553|Torture & CID_1_A2553|Sexual and Gender-based Violence_1_A2553|Violation of Right to Health_1_A2553|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A2553|Violation of Freedom of Expression_1_A2553","Ryanggang Provincial MSS Holding Centre|Ryanggang Provincial MPS Holding Centre|Kimjongsuk (Sinpa) County MPS Detention Centre|Kaechon Re-education Camp","Ryanggang|Ryanggang|Ryanggang|South Pyongan","Ministry of State Security|Ministry of People's Security|Ministry of People's Security|Ministry of People's Security","Holding Centre|Holding Centre|Detention Centre|Re-education Camp",1,1,"North Korean","Ministry of People’s Security","50-59","Major (sojwa)","Kaechon Re-education Camp","South Pyongan","Re-education Camp",1,"Arbitrary Deprivation of Liberty|Violation of the Right to a Fair Trial|Torture & CID|Sexual and Gender-based Violence|Violation of Right to Health|Violation of the Right to Freedom of Conscience, Thought and Religion|Violation of Freedom of Expression",1,1,1,1,1,1,1,0,0,0,0
