perpA,perpB,det_id,year
perp-A2564,perp-A2565,det-A2553,2011
perp-A2563,perp-A2565,det-A2553,2011
perp-A2563,perp-A2564,det-A2553,2011
perp-A2562,perp-A2565,det-A2553,2011
perp-A2562,perp-A2564,det-A2553,2011
perp-A2562,perp-A2563,det-A2553,2011
perp-A2561,perp-A2565,det-A2553,2011
perp-A2561,perp-A2564,det-A2553,2011
perp-A2561,perp-A2563,det-A2553,2011
perp-A2561,perp-A2562,det-A2553,2011
perp-A2560,perp-A2565,det-A2553,2011
perp-A2560,perp-A2564,det-A2553,2011
perp-A2560,perp-A2563,det-A2553,2011
perp-A2560,perp-A2562,det-A2553,2011
perp-A2560,perp-A2561,det-A2553,2011
perp-A2558,perp-A2565,det-A2553,2011
perp-A2558,perp-A2564,det-A2553,2011
perp-A2558,perp-A2563,det-A2553,2011
perp-A2558,perp-A2562,det-A2553,2011
perp-A2558,perp-A2561,det-A2553,2011
perp-A2558,perp-A2560,det-A2553,2011
perp-A2737,perp-A2738,det-A2733,2002
perp-A2736,perp-A2738,det-A2733,2002
perp-A2736,perp-A2737,det-A2733,2002
perp-A2735,perp-A2738,det-A2733,2002
perp-A2735,perp-A2737,det-A2733,2002
perp-A2735,perp-A2736,det-A2733,2002
perp-A2576,perp-A2577,det-A2573,2004
perp-A2581,perp-A2582,det-A2579,2015
perp-A2706,perp-A2707,det-A2705,1994
perp-A2706,perp-A2707,det-A2705,1995
perp-A2706,perp-A2707,det-A2705,1996
perp-A2532,perp-A2534,det-A2522,2007
perp-A2531,perp-A2534,det-A2522,2007
perp-A2531,perp-A2532,det-A2522,2007
perp-A2529,perp-A2534,det-A2522,2007
perp-A2529,perp-A2532,det-A2522,2007
perp-A2529,perp-A2531,det-A2522,2007
perp-A2528,perp-A2534,det-A2522,2007
perp-A2528,perp-A2532,det-A2522,2007
perp-A2528,perp-A2531,det-A2522,2007
perp-A2528,perp-A2529,det-A2522,2007
perp-A1558,perp-A2534,det-A2522,2007
perp-A1558,perp-A2532,det-A2522,2007
perp-A1558,perp-A2531,det-A2522,2007
perp-A1558,perp-A2529,det-A2522,2007
perp-A1558,perp-A2528,det-A2522,2007
perp-A0913,perp-A2534,det-A2522,2007
perp-A0913,perp-A2532,det-A2522,2007
perp-A0913,perp-A2531,det-A2522,2007
perp-A0913,perp-A2529,det-A2522,2007
perp-A0913,perp-A2528,det-A2522,2007
perp-A0913,perp-A1558,det-A2522,2007
perp-A2713,perp-A2715,det-A2711,2010
perp-A2516,perp-A2517,det-A2512,2003
perp-A2680,perp-A2681,det-A2679,2006
perp-A2680,perp-A2681,det-A2627,2003
perp-A2689,perp-A2690,det-A2687,1989
perp-A2688,perp-A2690,det-A2687,1989
perp-A2688,perp-A2689,det-A2687,1989
perp-A2731,perp-A2732,det-A2728,2001
perp-A2730,perp-A2732,det-A2728,2001
perp-A2730,perp-A2731,det-A2728,2001
perp-A2510,perp-A2511,det-A2509,2010
perp-A2348,perp-A2349,det-A2345,2010
perp-A2708,perp-A2709,det-A2698,2003
perp-A2571,perp-A2572,det-A2568,2004
perp-A2685,perp-A2686,det-A2684,2009
perp-A2685,perp-A2686,det-A2684,2010
perp-A2685,perp-A2686,det-A2682,2009
perp-A2685,perp-A2686,det-A2682,2010
perp-A2458,perp-A2459,det-A2447,2011
perp-A2458,perp-A2459,det-A2447,2012
perp-A2458,perp-A2459,det-A2447,2013
perp-A2458,perp-A2459,det-A2447,2014
perp-A2456,perp-A2457,det-A2446,2011
