"perp_id","facility","num_detainees","date","louvain"
"perp-A0005","Onsong County MPS Detention Centre",1,"2012-2017",248
"perp-A0005","Onsong County MPS Detention Centre",1,"2019-2019",248
"perp-A0006","Onsong County MPS Detention Centre",1,"2012-2017",248
"perp-A0006","Onsong County MPS Detention Centre",1,"2019-2019",248
"perp-A0007","Onsong County MPS Detention Centre",1,"2012-2017",248
"perp-A0007","Onsong County MPS Detention Centre",1,"2019-2019",248
"perp-A0008","Onsong County MSS Detention Centre",1,"2012-2017",248
"perp-A0008","Onsong County MSS Detention Centre",1,"2019-2019",248
"perp-A0009","Onsong County MSS Detention Centre",1,"2012-2017",248
"perp-A0009","Onsong County MSS Detention Centre",1,"2019-2019",248
"perp-A0010","Onsong County MSS Detention Centre",1,"2012-2017",248
"perp-A0010","Onsong County MSS Detention Centre",1,"2019-2019",248
"perp-A0011","Onsong County MSS Detention Centre",1,"2012-2017",248
"perp-A0011","Onsong County MSS Detention Centre",1,"2019-2019",248
"perp-A0012","Onsong County MSS Detention Centre",1,"2012-2017",248
"perp-A0012","Onsong County MSS Detention Centre",1,"2019-2019",248
"perp-A0013","Onsong County MSS Detention Centre",1,"2012-2017",248
"perp-A0013","Onsong County MSS Detention Centre",1,"2019-2019",248
"perp-A0014","Onsong County MSS Detention Centre",1,"2012-2017",248
"perp-A0014","Onsong County MSS Detention Centre",1,"2019-2019",248
"perp-A0016","Onsong County MSS Detention Centre",1,"2012-2017",248
"perp-A0016","Onsong County MSS Detention Centre",1,"2019-2019",248
"perp-A0022","Hoeryong City Obong-ri MPS Sub-municipal Station Office",1,"2009-2011",102
"perp-A0023","Hoeryong City MPS Waiting Room
",1,"2009-2011",102
"perp-A0024","Hoeryong City MPS Detention Centre",1,"2009-2011",102
"perp-A0025","Hoeryong City MPS Detention Centre",1,"2009-2011",102
"perp-A0026","Chongori Re-education Camp",3,"2010-2011",102
"perp-A0026","Chongori Re-education Camp",3,"2007-2011",102
"perp-A0026","Chongori Re-education Camp",3,"2009-2011",102
"perp-A0027","Chongori Re-education Camp",3,"2010-2011",102
"perp-A0027","Chongori Re-education Camp",3,"2010-2011",102
"perp-A0027","Chongori Re-education Camp",3,"2010-2011",102
"perp-A0037","Hyesan City MPS Waiting Room",1,"2014-2016",117
"perp-A0040","Hyesan City MPS Detention Centre",1,"2014-2016",117
"perp-A0045","Hyesan City MPS Detention Centre",2,"2014-2014",252
"perp-A0045","Hyesan City MPS Detention Centre",2,"2014-2016",252
"perp-A0047","Hyesan City MPS Detention Centre",1,"2014-2016",252
"perp-A0049","Kaechon Re-education Camp",2,"2015-2015",251
"perp-A0049","Kaechon Re-education Camp",2,"2015-2016",251
"perp-A0050","Kaechon Re-education Camp",1,"2015-2016",250
"perp-A0057","Ryanggang Provincial Prosecutor's Office",1,"2007-2015",247
"perp-A0058","Hyesan City MPS Detention Centre",1,"2007-2015",247
"perp-A0059","Ryanggang Provincial MSS Detention Centre",1,"2007-2015",247
"perp-A0060","Ryanggang Provincial Prosecutor's Office",1,"2007-2015",247
"perp-A0061","Ryanggang Provincial MPS Detention Centre",1,"2007-2015",247
"perp-A0062","Ryanggang Provincial MPS Detention Centre",1,"2007-2015",247
"perp-A0063","Ryanggang Provincial MPS Detention Centre",1,"2007-2015",247
"perp-A0064","Hamhung Re-education Camp Songwon-ri Branch",1,"2007-2015",247
"perp-A0065","Hamhung Re-education Camp Songwon-ri Branch",1,"2007-2015",247
"perp-A0066","Hamhung Re-education Camp Songwon-ri Branch",1,"2007-2015",247
"perp-A0067","Hamhung Re-education Camp Songwon-ri Branch",1,"2007-2015",247
"perp-A0068","Hamhung Re-education Camp Songwon-ri Branch",1,"2007-2015",247
"perp-A0069","Hamhung Re-education Camp Songwon-ri Branch",1,"2007-2015",247
"perp-A0073","Kyonghung (Undok) County MPS Detention Centre",5,"2007-2009",131
"perp-A0073","Kyonghung (Undok) County MPS Detention Centre",5,"2007-2008",131
"perp-A0073","Kyonghung (Undok) County MPS Detention Centre",5,"2007-2008",131
"perp-A0073","Kyonghung (Undok) County MPS Detention Centre",5,"2007-2008",131
"perp-A0073","Kyonghung (Undok) County MPS Detention Centre",5,"2007-2008",131
"perp-A0074","Hyesan City MPS Detention Centre",1,"2007-2017",67
"perp-A0075","Hyesan City MPS Detention Centre",1,"2007-2017",67
"perp-A0076","Hyesan City MPS Detention Centre",1,"2007-2017",67
"perp-A0078","Kaechon Re-education Camp",1,"2007-2017",67
"perp-A0079","Hyesan City MPS Detention Centre",1,"2007-2017",67
"perp-A0081","Hyesan City MSS  Detention Centre",1,"2018-2018",249
"perp-A0081","Hyesan City MSS  Detention Centre",1,"2018-2018",249
"perp-A0083","Hyesan City MSS  Detention Centre",1,"2018-2019",138
"perp-A0085","Kyonghung (Undok) County MPS Detention Centre",5,"2007-2008",131
"perp-A0085","Kyonghung (Undok) County MPS Detention Centre",5,"2007-2008",131
"perp-A0085","Kyonghung (Undok) County MPS Detention Centre",5,"2007-2008",131
"perp-A0085","Kyonghung (Undok) County MPS Detention Centre",5,"2007-2009",131
"perp-A0085","Kyonghung (Undok) County MPS Detention Centre",5,"2007-2008",131
"perp-A0086","Ryanggang Provincial MSS Detention Centre",1,"2017-2018",216
"perp-A0087","Hyesan City MSS  Detention Centre",1,"2018-2019",138
"perp-A0088","Hyesan City MSS  Detention Centre",1,"2018-2019",138
"perp-A0089","Hyesan City MSS  Detention Centre",1,"2018-2019",138
"perp-A0090","Hyesan City MSS  Detention Centre",1,"2018-2019",138
"perp-A0091","Hyesan City MPS Waiting Room",1,"2018-2019",138
"perp-A0094","Musan County Sambong-gu MPS Sub-municipal Station Waiting Room",1,"2006-2009",170
"perp-A0094","Musan County Sambong-gu MPS Sub-municipal Station Waiting Room",1,"2008-2008",170
"perp-A0096","Musan County MPS Detention Centre",2,"2006-2009",170
"perp-A0096","Musan County MPS Detention Centre",2,"2008-2008",170
"perp-A0096","Musan County MPS Detention Centre",2,"2006-2006",170
"perp-A0097","Musan County Labour Training Centre",1,"2006-2009",170
"perp-A0097","Musan County Labour Training Centre",1,"2008-2008",170
"perp-A0099","Hyesan City MSS  Detention Centre",1,"2014-2015",117
"perp-A0100","Hyesan City MSS  Detention Centre",1,"2014-2015",117
